Rank,Title,Year,IMDB Rating
151,151. Kill Bill: Vol. 1,2003,"8.2
 (1.3M)"
152,152. A Beautiful Mind,2001,"8.2
 (1M)"
153,153. Prisoners,2013,"8.2
 (891K)"
154,154. The Treasure of the Sierra Madre,1948,"8.2
 (139K)"
155,155. Yojimbo,1961,"8.2
 (140K)"
156,156. Finding Nemo,2003,"8.2
 (1.2M)"
157,157. Howl's Moving Castle,2004,"8.2
 (492K)"
158,158. The Best of Youth,2003,"8.4
 (26K)"
159,159. The Great Escape,1963,"8.2
 (272K)"
160,160. Monty Python and the Holy Grail,1975,"8.2
 (593K)"
161,161. The Elephant Man,1980,"8.2
 (276K)"
162,162. Klaus,2019,"8.2
 (219K)"
163,163. Dial M for Murder,1954,"8.2
 (200K)"
164,164. Gone with the Wind,1939,"8.2
 (350K)"
165,165. The Secret in Their Eyes,2009,"8.2
 (236K)"
166,166. Chinatown,1974,"8.1
 (369K)"
167,"167. Lock, Stock and Two Smoking Barrels",1998,"8.1
 (640K)"
168,168. V for Vendetta,2005,"8.1
 (1.2M)"
169,169. Rashomon,1950,"8.1
 (192K)"
170,170. Inside Out,2015,"8.1
 (882K)"
171,"171. Three Billboards Outside Ebbing, Missouri",2017,"8.1
 (590K)"
172,172. Catch Me If You Can,2002,"8.1
 (1.2M)"
173,173. Trainspotting,1996,"8.1
 (756K)"
174,174. The Bridge on the River Kwai,1957,"8.1
 (244K)"
175,175. Raging Bull,1980,"8.1
 (400K)"
176,176. Harry Potter and the Deathly Hallows: Part 2,2011,"8.1
 (1M)"
177,177. Fargo,1996,"8.1
 (764K)"
178,178. The Wild Robot,2024,"8.2
 (195K)"
179,179. Warrior,2011,"8.1
 (519K)"
180,180. Million Dollar Baby,2004,"8.1
 (753K)"
181,181. Gran Torino,2008,"8.1
 (847K)"
182,182. Dead Poets Society,1989,"8.1
 (608K)"
183,183. Ben-Hur,1959,"8.1
 (266K)"
184,184. Mad Max: Fury Road,2015,"8.1
 (1.2M)"
185,185. Barry Lyndon,1975,"8.1
 (197K)"
186,186. My Neighbor Totoro,1988,"8.1
 (415K)"
187,187. Children of Heaven,1997,"8.2
 (87K)"
188,188. Hacksaw Ridge,2016,"8.1
 (651K)"
189,189. The Grand Budapest Hotel,2014,"8.1
 (939K)"
190,190. 12 Years a Slave,2013,"8.1
 (771K)"
191,191. Before Sunrise,1995,"8.1
 (365K)"
192,192. Spider-Man: No Way Home,2021,"8.2
 (974K)"
193,193. Blade Runner,1982,"8.1
 (862K)"
194,194. Memories of Murder,2003,"8.1
 (250K)"
195,195. Gone Girl,2014,"8.1
 (1.1M)"
196,196. Ratatouille,2007,"8.1
 (904K)"
197,197. How to Train Your Dragon,2010,"8.1
 (865K)"
198,"198. Monsters, Inc.",2001,"8.1
 (1M)"
199,199. In the Name of the Father,1993,"8.1
 (198K)"
200,200. Jaws,1975,"8.1
 (713K)"
201,201. Wild Tales,2014,"8.1
 (232K)"
202,202. The Gold Rush,1925,"8.1
 (126K)"
203,203. Ford v Ferrari,2019,"8.1
 (540K)"
204,204. Sherlock Jr.,1924,"8.1
 (63K)"
205,205. Mary and Max,2009,"8.1
 (198K)"
206,206. The Deer Hunter,1978,"8.1
 (379K)"
207,207. The Wages of Fear,1953,"8.1
 (72K)"
208,208. The General,1926,"8.1
 (104K)"
209,209. Mr. Smith Goes to Washington,1939,"8.1
 (127K)"
210,210. On the Waterfront,1954,"8.1
 (174K)"
211,211. Logan,2017,"8.1
 (902K)"
212,212. Rocky,1976,"8.1
 (669K)"
213,213. Wild Strawberries,1957,"8.1
 (122K)"
214,214. Tokyo Story,1953,"8.1
 (75K)"
215,215. The Third Man,1949,"8.1
 (191K)"
216,216. Spotlight,2015,"8.1
 (524K)"
217,217. Maharaja,2024,"8.4
 (73K)"
218,218. Pirates of the Caribbean: The Curse of the Black Pearl,2003,"8.1
 (1.3M)"
219,219. The Terminator,1984,"8.1
 (976K)"
220,220. The Big Lebowski,1998,"8.1
 (899K)"
221,221. La haine,1995,"8.1
 (216K)"
222,222. The Seventh Seal,1957,"8.1
 (211K)"
223,223. Jai Bhim,2021,"8.6
 (229K)"
224,224. Room,2015,"8.1
 (472K)"
225,225. Hotel Rwanda,2004,"8.1
 (386K)"
226,226. Platoon,1986,"8.1
 (461K)"
227,227. The Best Years of Our Lives,1946,"8.1
 (76K)"
228,228. Before Sunset,2004,"8.1
 (306K)"
229,229. The Sound of Music,1965,"8.1
 (281K)"
230,230. The Exorcist,1973,"8.1
 (484K)"
231,231. The Incredibles,2004,"8.0
 (870K)"
232,232. Hachi: A Dog's Tale,2009,"8.1
 (333K)"
233,233. Rush,2013,"8.1
 (544K)"
234,234. The Wizard of Oz,1939,"8.1
 (456K)"
235,235. A Silent Voice: The Movie,2016,"8.1
 (127K)"
236,236. The Passion of Joan of Arc,1928,"8.1
 (66K)"
237,237. Stand by Me,1986,"8.1
 (471K)"
238,238. The Iron Giant,1999,"8.1
 (250K)"
239,239. My Father and My Son,2005,"8.2
 (99K)"
240,240. The Handmaiden,2016,"8.1
 (193K)"
241,241. Network,1976,"8.1
 (182K)"
242,242. The Battle of Algiers,1966,"8.1
 (73K)"
243,243. The Grapes of Wrath,1940,"8.1
 (106K)"
244,244. To Be or Not to Be,1942,"8.1
 (48K)"
245,245. Into the Wild,2007,"8.0
 (685K)"
246,246. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,"8.2
 (89K)"
247,247. The Help,2011,"8.1
 (518K)"
248,248. Drishyam,2015,"8.2
 (104K)"
249,249. Groundhog Day,1993,"8.0
 (725K)"
250,250. Gangs of Wasseypur,2012,"8.2
 (110K)"
